Time,TPS,Latency
14.156606,8918.789473,1.000000
14.156841,8918.995099,1.000000
14.157508,8919.615803,1.000000
14.162073,8919.823260,1.000000
14.163030,8920.340390,1.000000
14.163400,8920.923271,1.000000
14.163712,8921.482084,1.000000
14.166578,8921.768002,1.000000
14.167007,8919.598272,1.000000
14.167178,8919.701242,1.000000
14.170515,8920.174456,1.000000
14.184285,8920.683885,1.000000
14.185187,8919.585080,1.000000
14.191862,8920.020899,1.000000
14.191952,8920.619273,1.000000
14.192245,8919.224309,1.000000
14.192481,8911.270518,1.000000
14.192715,8911.408991,1.000000
14.193149,8907.921914,1.000000
14.194486,8908.570257,1.000000
14.202601,8909.090557,1.000000
14.204450,8909.647455,1.000000
14.204559,8910.204858,1.000000
14.205765,8910.637201,1.000000
14.206336,8910.502472,1.000000
14.215049,8906.114893,1.000000
14.217517,8905.659768,1.000000
14.217698,8906.295454,1.000000
14.217722,8906.243659,1.000000
14.220057,8906.589311,1.000000
14.220175,8901.833255,1.000000
14.220189,8900.991643,1.000000
14.220525,8901.581650,1.000000
14.220714,8902.270206,1.000000
14.220926,8901.511279,1.000000
14.221091,8902.140509,1.000000
14.221209,8902.835414,1.000000
14.221594,8903.328059,1.000000
14.222130,8903.912878,1.000000
14.222254,8904.483252,1.000000
14.222295,8905.083459,1.000000
14.222447,8905.712326,1.000000
14.237802,8906.174470,1.000000
14.239101,8906.542415,1.000000
14.245487,8907.167911,1.000000
14.245601,8907.845042,1.000000
14.245637,8908.453059,1.000000
14.245698,8899.547889,1.000000
14.245735,8899.438244,1.000000
14.245808,8896.150942,1.000000
14.245866,8896.781748,1.000000
14.247573,8897.461286,1.000000
14.247658,8898.125102,1.000000
14.249915,8898.803617,1.000000
14.251345,8899.460212,1.000000
14.257694,8900.125911,1.000000
14.258414,8899.761202,1.000000
14.261468,8900.410028,1.000000
14.265505,8899.702156,1.000000
14.267014,8899.510602,1.000000
14.281796,8896.249515,1.000000
14.282339,8896.501626,1.000000
14.284688,8895.297246,1.000000
14.285564,8893.480955,1.000000
14.285666,8893.241665,1.000000
14.285746,8884.736983,0.000000
14.286519,8885.099152,1.000000
14.287427,8884.337940,0.000000
14.292430,8884.493724,1.000000
14.296482,8885.130057,1.000000
14.297079,8885.780325,1.000000
14.300261,8885.999218,1.000000
14.300338,8886.134511,0.000000
14.303134,8883.723528,1.000000
14.303173,8881.905508,1.000000
14.303222,8882.234097,1.000000
14.303391,8880.956711,1.000000
14.306287,8881.608278,1.000000
14.306332,8880.570976,1.000000
14.308773,8881.246114,1.000000
14.308812,8881.915013,1.000000
14.310539,8882.508868,1.000000
14.310605,8881.410281,1.000000
14.310667,8882.080973,1.000000
14.310785,8881.264765,1.000000
14.310866,8881.939092,1.000000
14.310933,8881.566106,1.000000
14.316182,8882.223953,1.000000
14.317499,8882.884380,1.000000
14.322899,8883.509703,1.000000
14.324600,8884.158114,1.000000
14.325497,8884.815391,1.000000
14.327688,8882.256637,1.000000
14.330613,8882.137606,1.000000
14.333226,8879.487626,1.000000
14.335583,8879.130824,0.000000
14.349011,8879.272986,0.000000
14.349346,8878.613214,0.000000
14.349405,8877.498691,0.000000
14.349487,8876.578357,0.000000
14.377147,8875.816212,0.000000
14.377397,8868.207169,0.000000
14.377437,8868.697130,0.000000
14.377910,8869.357069,1.000000
14.378450,8870.003531,1.000000
14.378901,8853.634020,0.000000
14.379408,8854.175964,0.000000
14.379832,8854.846788,0.000000
